"","de_nde","term","prog_2dig","enrollment","retention","success","success_rate","retention_rate"
"1","Non-distance Education","Fall 2017","Biological Sciences-04",2496,2139,1896,0.759615384615385,0.856971153846154
"2","Non-distance Education","Fall 2017","Business and Management-05",3440,3104,2792,0.811627906976744,0.902325581395349
"3","Non-distance Education","Fall 2017","Commercial Services-30",875,846,752,0.859428571428571,0.966857142857143
"4","Non-distance Education","Fall 2017","Education-08",4088,3619,3182,0.778375733855186,0.88527397260274
"5","Non-distance Education","Fall 2017","Engineering and Industrial Technologies-09",4007,3793,3572,0.891439980034939,0.946593461442476
"6","Non-distance Education","Fall 2017","Environmental Sciences and Technologies-03",303,270,240,0.792079207920792,0.891089108910891
"7","Non-distance Education","Fall 2017","Family and Consumer Sciences-13",2191,2044,1852,0.845276129621178,0.932907348242812
"8","Non-distance Education","Fall 2017","Fine and Applied Arts-10",2433,2199,1965,0.807644882860666,0.903822441430333
"9","Non-distance Education","Fall 2017","Foreign Language-11",1035,897,783,0.756521739130435,0.866666666666667
"10","Non-distance Education","Fall 2017","Health-12",2820,2609,2390,0.847517730496454,0.925177304964539
"11","Non-distance Education","Fall 2017","Humanities (Letters)-15",7558,6581,5275,0.697935961894681,0.870732998147658
"12","Non-distance Education","Fall 2017","Information Technology-07",1415,1275,1115,0.787985865724382,0.901060070671378
"13","Non-distance Education","Fall 2017","Interdisciplinary Studies-49",3230,3016,2583,0.79969040247678,0.93374613003096
"14","Non-distance Education","Fall 2017","Mathematics-17",5599,4516,3217,0.574566886944097,0.806572602250402
"15","Non-distance Education","Fall 2017","Media and Communications-06",480,424,384,0.8,0.883333333333333
"16","Non-distance Education","Fall 2017","Physical Sciences-19",2877,2331,1926,0.669447340980188,0.81021897810219
"17","Non-distance Education","Fall 2017","Psychology-20",1965,1686,1377,0.700763358778626,0.858015267175573
"18","Non-distance Education","Fall 2017","Public and Protective Services-21",1832,1556,1252,0.683406113537118,0.849344978165939
"19","Non-distance Education","Fall 2017","Social Sciences-22",4542,3750,3108,0.684280052840158,0.825627476882431
"20","Non-distance Education","Fall 2018","Biological Sciences-04",2394,2103,1794,0.74937343358396,0.878446115288221
"21","Non-distance Education","Fall 2018","Business and Management-05",2136,1716,1364,0.638576779026217,0.803370786516854
"22","Non-distance Education","Fall 2018","Commercial Services-30",827,824,664,0.802902055622733,0.996372430471584
"23","Non-distance Education","Fall 2018","Education-08",4168,3834,3486,0.83637236084453,0.919865642994242
"24","Non-distance Education","Fall 2018","Engineering and Industrial Technologies-09",3433,3186,3069,0.893970288377512,0.928051267113312
"25","Non-distance Education","Fall 2018","Environmental Sciences and Technologies-03",327,309,276,0.844036697247706,0.944954128440367
"26","Non-distance Education","Fall 2018","Family and Consumer Sciences-13",1748,1636,1480,0.846681922196796,0.935926773455378
"27","Non-distance Education","Fall 2018","Fine and Applied Arts-10",2705,2320,2059,0.761182994454713,0.857670979667283
"28","Non-distance Education","Fall 2018","Foreign Language-11",915,765,684,0.747540983606557,0.836065573770492
"29","Non-distance Education","Fall 2018","Health-12",2921,2688,2444,0.836699760356042,0.920232796987333
"30","Non-distance Education","Fall 2018","Humanities (Letters)-15",7418,6233,5149,0.694122404960906,0.840253437584255
"31","Non-distance Education","Fall 2018","Information Technology-07",1460,1244,960,0.657534246575342,0.852054794520548
"32","Non-distance Education","Fall 2018","Interdisciplinary Studies-49",3342,3108,2747,0.82196289646918,0.929982046678636
"33","Non-distance Education","Fall 2018","Mathematics-17",5401,4264,2916,0.53990001851509,0.789483428994631
"34","Non-distance Education","Fall 2018","Media and Communications-06",520,416,360,0.692307692307692,0.8
"35","Non-distance Education","Fall 2018","Physical Sciences-19",2607,2229,1827,0.700805523590334,0.855005753739931
"36","Non-distance Education","Fall 2018","Psychology-20",1857,1605,1314,0.707592891760905,0.864297253634895
"37","Non-distance Education","Fall 2018","Public and Protective Services-21",1916,1684,1444,0.753653444676409,0.878914405010438
"38","Non-distance Education","Fall 2018","Social Sciences-22",4290,3669,2955,0.688811188811189,0.855244755244755
"39","Non-distance Education","Fall 2019","Biological Sciences-04",2598,2187,1794,0.690531177829099,0.841801385681293
"40","Non-distance Education","Fall 2019","Business and Management-05",2036,1704,1412,0.693516699410609,0.836935166994106
"41","Non-distance Education","Fall 2019","Commercial Services-30",748,708,682,0.911764705882353,0.946524064171123
"42","Non-distance Education","Fall 2019","Education-08",3416,3016,2782,0.81440281030445,0.882903981264637
"43","Non-distance Education","Fall 2019","Engineering and Industrial Technologies-09",3079,2768,2528,0.82104579408899,0.898993179603767
"44","Non-distance Education","Fall 2019","Environmental Sciences and Technologies-03",315,297,273,0.866666666666667,0.942857142857143
"45","Non-distance Education","Fall 2019","Family and Consumer Sciences-13",1556,1396,1292,0.830334190231362,0.897172236503856
"46","Non-distance Education","Fall 2019","Fine and Applied Arts-10",2683,2378,2062,0.768542676108833,0.886321282146851
"47","Non-distance Education","Fall 2019","Foreign Language-11",1023,870,804,0.785923753665689,0.850439882697947
"48","Non-distance Education","Fall 2019","Health-12",2625,2423,2248,0.856380952380952,0.923047619047619
