"","de_nde","term","enrollment","retention","success","success_rate","retention_rate"
"1","Non-distance Education","Fall 2017",53186,46655,39661,0.745703756627684,0.877204527507239
"2","Non-distance Education","Fall 2018",50385,43833,36992,0.734186761933115,0.869961298005359
"3","Non-distance Education","Fall 2019",48853,41888,35078,0.718031645958283,0.857429431150595
"4","Non-distance Education","Fall 2020",17171,14907,12527,0.729543998602295,0.868149787432299
"5","Non-distance Education","Fall 2021",19593,17260,14229,0.726228755167662,0.880926861634257
"6","Distance Education","Fall 2017",19196,16050,12346,0.64315482392165,0.836111689935403
"7","Distance Education","Fall 2018",25088,20458,15788,0.629304846938776,0.815449617346939
"8","Distance Education","Fall 2019",29420,24542,19158,0.65118966689327,0.834194425560843
"9","Distance Education","Fall 2020",81906,71068,58842,0.718408907772324,0.867677581617952
"10","Distance Education","Fall 2021",63917,54587,43999,0.688377114069809,0.854029444435753
